Data as of,Start Date,End Date,State,County Name,Urban Rural Code,FIPS State,FIPS County,FIPS Code,Indicator,Total deaths,COVID-19 Deaths,Non-Hispanic White,Non-Hispanic Black,Non-Hispanic American Indian or Alaska Native,Non-Hispanic Asian,Non-Hispanic Native Hawaiian or Other Pacific Islander,Hispanic,Other,Urban Rural Description,Footnote
03/17/2021,01/01/2020,03/13/2021,AL,DeKalb County,6,1,49,1049,Distribution of COVID-19 deaths (%),934,105,0.962,,,,,,,Noncore,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AL,DeKalb County,6,1,49,1049,Distribution of population (%),934,105,0.798,0.015,0.012,0.004,0.001,0.151,0.02,Noncore,
03/17/2021,01/01/2020,03/13/2021,AL,Etowah County,4,1,55,1055,Distribution of all-cause deaths (%),2128,357,0.855,0.134,,,,0.008,,Small metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AL,Etowah County,4,1,55,1055,Distribution of COVID-19 deaths (%),2128,357,0.849,0.143,,,,,,Small metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AL,Etowah County,4,1,55,1055,Distribution of population (%),2128,357,0.774,0.155,0.004,0.008,0,0.041,0.017,Small metro,
03/17/2021,01/01/2020,03/13/2021,AL,Houston County,4,1,69,1069,Distribution of all-cause deaths (%),2594,529,0.741,0.243,,,,0.008,0.004,Small metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AL,Houston County,4,1,69,1069,Distribution of COVID-19 deaths (%),2594,529,0.692,0.284,,,,0.019,,Small metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AL,Houston County,4,1,69,1069,Distribution of population (%),2594,529,0.66,0.271,0.004,0.01,0.001,0.034,0.02,Small metro,
03/17/2021,01/01/2020,03/13/2021,AL,Jefferson County,1,1,73,1073,Distribution of all-cause deaths (%),13572,1963,0.623,0.356,,0.005,,0.011,0.004,Large central metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AL,Jefferson County,1,1,73,1073,Distribution of COVID-19 deaths (%),13572,1963,0.621,0.35,,0.007,,0.018,,Large central metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AL,Jefferson County,1,1,73,1073,Distribution of population (%),13572,1963,0.495,0.431,0.002,0.018,0,0.041,0.013,Large central metro,
03/17/2021,01/01/2020,03/13/2021,AL,Lauderdale County,4,1,77,1077,Distribution of all-cause deaths (%),1924,245,0.902,0.09,,,,,,Small metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AL,Lauderdale County,4,1,77,1077,Distribution of COVID-19 deaths (%),1924,245,0.853,0.131,,,,,,Small metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AL,Lauderdale County,4,1,77,1077,Distribution of population (%),1924,245,0.845,0.099,0.004,0.008,0,0.029,0.016,Small metro,
03/17/2021,01/01/2020,03/13/2021,AL,Lee County,4,1,81,1081,Distribution of all-cause deaths (%),1639,281,0.685,0.302,,,,,,Small metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AL,Lee County,4,1,81,1081,Distribution of COVID-19 deaths (%),1639,281,0.584,0.388,,,,,,Small metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AL,Lee County,4,1,81,1081,Distribution of population (%),1639,281,0.676,0.226,0.002,0.041,0.001,0.037,0.016,Small metro,
03/17/2021,01/01/2020,03/13/2021,AL,Limestone County,3,1,83,1083,Distribution of all-cause deaths (%),1076,105,0.878,0.106,,,,0.01,,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AL,Limestone County,3,1,83,1083,Distribution of COVID-19 deaths (%),1076,105,0.876,0.114,,,,,,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AL,Limestone County,3,1,83,1083,Distribution of population (%),1076,105,0.758,0.135,0.006,0.016,0.001,0.062,0.022,Medium metro,
03/17/2021,01/01/2020,03/13/2021,AL,Madison County,3,1,89,1089,Distribution of all-cause deaths (%),5508,616,0.782,0.188,,0.01,,0.016,0.003,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AL,Madison County,3,1,89,1089,Distribution of COVID-19 deaths (%),5508,616,0.774,0.182,,,,0.034,,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AL,Madison County,3,1,89,1089,Distribution of population (%),5508,616,0.644,0.244,0.007,0.026,0.001,0.052,0.026,Medium metro,
03/17/2021,01/01/2020,03/13/2021,AL,Marshall County,5,1,95,1095,Distribution of all-cause deaths (%),1605,194,0.955,0.016,,,,0.027,,Micropolitan,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AL,Marshall County,5,1,95,1095,Distribution of COVID-19 deaths (%),1605,194,0.902,,,,,0.082,,Micropolitan,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AL,Marshall County,5,1,95,1095,Distribution of population (%),1605,194,0.797,0.026,0.006,0.006,0.001,0.147,0.016,Micropolitan,
03/17/2021,01/01/2020,03/13/2021,AL,Mobile County,3,1,97,1097,Distribution of all-cause deaths (%),7037,868,0.634,0.341,0.008,0.006,,0.007,0.003,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AL,Mobile County,3,1,97,1097,Distribution of COVID-19 deaths (%),7037,868,0.553,0.416,,,,,,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AL,Mobile County,3,1,97,1097,Distribution of population (%),7037,868,0.565,0.359,0.009,0.021,0,0.03,0.016,Medium metro,
03/17/2021,01/01/2020,03/13/2021,AL,Montgomery County,3,1,101,1101,Distribution of all-cause deaths (%),4314,779,0.466,0.515,,0.006,,0.007,0.003,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AL,Montgomery County,3,1,101,1101,Distribution of COVID-19 deaths (%),4314,779,0.413,0.565,,,,0.014,,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AL,Montgomery County,3,1,101,1101,Distribution of population (%),4314,779,0.327,0.588,0.002,0.032,0,0.037,0.013,Medium metro,
03/17/2021,01/01/2020,03/13/2021,AL,Morgan County,4,1,103,1103,Distribution of all-cause deaths (%),1823,225,0.86,0.116,,,,0.022,,Small metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AL,Morgan County,4,1,103,1103,Distribution of COVID-19 deaths (%),1823,225,0.782,0.178,,,,,,Small metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AL,Morgan County,4,1,103,1103,Distribution of population (%),1823,225,0.75,0.127,0.008,0.006,0.001,0.087,0.021,Small metro,
03/17/2021,01/01/2020,03/13/2021,AL,St. Clair County,2,1,115,1115,Distribution of all-cause deaths (%),1026,101,0.924,0.066,,,,,,Large fringe metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AL,St. Clair County,2,1,115,1115,Distribution of COVID-19 deaths (%),1026,101,0.941,,,,,,,Large fringe metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AL,St. Clair County,2,1,115,1115,Distribution of population (%),1026,101,0.854,0.095,0.003,0.009,0,0.024,0.015,Large fringe metro,
03/17/2021,01/01/2020,03/13/2021,AL,Shelby County,2,1,117,1117,Distribution of all-cause deaths (%),1807,161,0.869,0.108,,0.007,,0.013,,Large fringe metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AL,Shelby County,2,1,117,1117,Distribution of COVID-19 deaths (%),1807,161,0.801,0.168,,,,,,Large fringe metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AL,Shelby County,2,1,117,1117,Distribution of population (%),1807,161,0.772,0.131,0.003,0.022,0,0.058,0.014,Large fringe metro,
03/17/2021,01/01/2020,03/13/2021,AL,Talladega County,5,1,121,1121,Distribution of all-cause deaths (%),1151,111,0.718,0.275,,,,,,Micropolitan,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AL,Talladega County,5,1,121,1121,Distribution of COVID-19 deaths (%),1151,111,0.676,0.306,,,,,,Micropolitan,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AL,Talladega County,5,1,121,1121,Distribution of population (%),1151,111,0.623,0.327,0.003,0.007,0,0.024,0.016,Micropolitan,
03/17/2021,01/01/2020,03/13/2021,AL,Tallapoosa County,6,1,123,1123,Distribution of all-cause deaths (%),721,104,0.768,0.227,,,,,,Noncore,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AL,Tallapoosa County,6,1,123,1123,Distribution of COVID-19 deaths (%),721,104,0.721,0.279,,,,,,Noncore,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AL,Tallapoosa County,6,1,123,1123,Distribution of population (%),721,104,0.687,0.266,0.004,0.005,0,0.025,0.012,Noncore,
03/17/2021,01/01/2020,03/13/2021,AL,Tuscaloosa County,4,1,125,1125,Distribution of all-cause deaths (%),3171,570,0.65,0.333,,,,0.013,,Small metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AL,Tuscaloosa County,4,1,125,1125,Distribution of COVID-19 deaths (%),3171,570,0.575,0.402,,,,0.019,,Small metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AL,Tuscaloosa County,4,1,125,1125,Distribution of population (%),3171,570,0.608,0.322,0.002,0.016,0,0.04,0.012,Small metro,
03/17/2021,01/01/2020,03/13/2021,AL,Walker County,2,1,127,1127,Distribution of all-cause deaths (%),1316,190,0.941,0.052,,,,,,Large fringe metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AL,Walker County,2,1,127,1127,Distribution of COVID-19 deaths (%),1316,190,0.942,,,,,,,Large fringe metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AL,Walker County,2,1,127,1127,Distribution of population (%),1316,190,0.888,0.061,0.004,0.005,0,0.026,0.015,Large fringe metro,
03/17/2021,01/01/2020,03/13/2021,AR,Baxter County,5,5,5,5005,Distribution of all-cause deaths (%),1166,139,0.99,,,,,,,Micropolitan,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AR,Baxter County,5,5,5,5005,Distribution of COVID-19 deaths (%),1166,139,0.993,,,,,,,Micropolitan,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AR,Baxter County,5,5,5,5005,Distribution of population (%),1166,139,0.942,0.004,0.007,0.005,0.001,0.026,0.015,Micropolitan,
03/17/2021,01/01/2020,03/13/2021,AR,Benton County,3,5,7,5007,Distribution of all-cause deaths (%),2619,429,0.912,0.008,0.011,0.008,0.011,0.047,,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AR,Benton County,3,5,7,5007,Distribution of COVID-19 deaths (%),2619,429,0.79,,,,0.056,0.117,,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AR,Benton County,3,5,7,5007,Distribution of population (%),2619,429,0.721,0.018,0.014,0.04,0.007,0.17,0.03,Medium metro,
03/17/2021,01/01/2020,03/13/2021,AR,Craighead County,4,5,31,5031,Distribution of all-cause deaths (%),2909,521,0.875,0.112,,,,0.008,,Small metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AR,Craighead County,4,5,31,5031,Distribution of COVID-19 deaths (%),2909,521,0.825,0.159,,,,,,Small metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AR,Craighead County,4,5,31,5031,Distribution of population (%),2909,521,0.748,0.165,0.003,0.012,0,0.052,0.018,Small metro,
03/17/2021,01/01/2020,03/13/2021,AR,Faulkner County,3,5,45,5045,Distribution of all-cause deaths (%),1470,210,0.897,0.073,,,,0.014,,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AR,Faulkner County,3,5,45,5045,Distribution of COVID-19 deaths (%),1470,210,0.886,0.086,,,,,,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AR,Faulkner County,3,5,45,5045,Distribution of population (%),1470,210,0.799,0.12,0.005,0.012,0.001,0.042,0.021,Medium metro,
03/17/2021,01/01/2020,03/13/2021,AR,Garland County,4,5,51,5051,Distribution of all-cause deaths (%),2423,338,0.899,0.073,,,,0.014,0.01,Small metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AR,Garland County,4,5,51,5051,Distribution of COVID-19 deaths (%),2423,338,0.846,0.118,,,,,,Small metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AR,Garland County,4,5,51,5051,Distribution of population (%),2423,338,0.816,0.085,0.006,0.008,0.001,0.059,0.024,Small metro,
03/17/2021,01/01/2020,03/13/2021,AR,Independence County,5,5,63,5063,Distribution of all-cause deaths (%),778,166,0.96,0.018,,,,0.015,,Micropolitan,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AR,Independence County,5,5,63,5063,Distribution of COVID-19 deaths (%),778,166,0.94,,,,,,,Micropolitan,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AR,Independence County,5,5,63,5063,Distribution of population (%),778,166,0.88,0.023,0.005,0.008,0.001,0.066,0.017,Micropolitan,
03/17/2021,01/01/2020,03/13/2021,AR,Jefferson County,4,5,69,5069,Distribution of all-cause deaths (%),1174,171,0.513,0.465,,,,0.014,,Small metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AR,Jefferson County,4,5,69,5069,Distribution of COVID-19 deaths (%),1174,171,0.474,0.468,,,,,,Small metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AR,Jefferson County,4,5,69,5069,Distribution of population (%),1174,171,0.382,0.57,0.003,0.008,0.001,0.022,0.014,Small metro,
03/17/2021,01/01/2020,03/13/2021,AR,Pulaski County,3,5,119,5119,Distribution of all-cause deaths (%),8518,1086,0.705,0.268,0.001,0.006,,0.016,0.004,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AR,Pulaski County,3,5,119,5119,Distribution of COVID-19 deaths (%),8518,1086,0.65,0.298,,0.01,,0.04,,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AR,Pulaski County,3,5,119,5119,Distribution of population (%),8518,1086,0.516,0.375,0.003,0.022,0,0.062,0.021,Medium metro,
03/17/2021,01/01/2020,03/13/2021,AR,Saline County,3,5,125,5125,Distribution of all-cause deaths (%),1236,127,0.93,0.051,,,,,,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AR,Saline County,3,5,125,5125,Distribution of COVID-19 deaths (%),1236,127,0.882,0.094,,,,,,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AR,Saline County,3,5,125,5125,Distribution of population (%),1236,127,0.834,0.082,0.005,0.013,0,0.051,0.015,Medium metro,
03/17/2021,01/01/2020,03/13/2021,AR,Sebastian County,3,5,131,5131,Distribution of all-cause deaths (%),3072,475,0.882,0.041,0.015,0.016,,0.026,0.019,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AR,Sebastian County,3,5,131,5131,Distribution of COVID-19 deaths (%),3072,475,0.836,0.027,0.029,,,0.057,0.029,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AR,Sebastian County,3,5,131,5131,Distribution of population (%),3072,475,0.686,0.067,0.019,0.046,0.001,0.147,0.034,Medium metro,
03/17/2021,01/01/2020,03/13/2021,AR,Union County,5,5,139,5139,Distribution of all-cause deaths (%),733,102,0.685,0.304,,,,,,Micropolitan,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AR,Union County,5,5,139,5139,Distribution of COVID-19 deaths (%),733,102,0.627,0.343,,,,,,Micropolitan,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AR,Union County,5,5,139,5139,Distribution of population (%),733,102,0.606,0.327,0.004,0.006,0,0.042,0.015,Micropolitan,
03/17/2021,01/01/2020,03/13/2021,AR,Washington County,3,5,143,5143,Distribution of all-cause deaths (%),3082,441,0.895,0.021,0.013,0.01,0.021,0.038,,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AR,Washington County,3,5,143,5143,Distribution of COVID-19 deaths (%),3082,441,0.791,,0.027,,0.061,0.091,,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AR,Washington County,3,5,143,5143,Distribution of population (%),3082,441,0.686,0.033,0.011,0.025,0.027,0.167,0.052,Medium metro,
03/17/2021,01/01/2020,03/13/2021,AR,White County,5,5,145,5145,Distribution of all-cause deaths (%),1282,158,0.947,0.044,,,,,,Micropolitan,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AR,White County,5,5,145,5145,Distribution of COVID-19 deaths (%),1282,158,0.911,0.082,,,,,,Micropolitan,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AR,White County,5,5,145,5145,Distribution of population (%),1282,158,0.877,0.045,0.006,0.008,0.001,0.044,0.019,Micropolitan,
03/17/2021,01/01/2020,03/13/2021,AZ,Apache County,6,4,1,4001,Distribution of all-cause deaths (%),714,103,0.246,,0.674,,,0.06,0.014,Noncore,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AZ,Apache County,6,4,1,4001,Distribution of COVID-19 deaths (%),714,103,,,0.932,,,,,Noncore,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AZ,Apache County,6,4,1,4001,Distribution of population (%),714,103,0.18,0.005,0.73,0.004,0,0.066,0.014,Noncore,
03/17/2021,01/01/2020,03/13/2021,AZ,Cochise County,4,4,3,4003,Distribution of all-cause deaths (%),1413,120,0.72,0.022,,0.012,,0.213,0.027,Small metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AZ,Cochise County,4,4,3,4003,Distribution of COVID-19 deaths (%),1413,120,0.567,,,,,0.333,,Small metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AZ,Cochise County,4,4,3,4003,Distribution of population (%),1413,120,0.546,0.038,0.008,0.02,0.003,0.356,0.028,Small metro,
03/17/2021,01/01/2020,03/13/2021,AZ,Coconino County,4,4,5,4005,Distribution of all-cause deaths (%),1551,247,0.449,0.012,0.424,,,0.093,0.016,Small metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AZ,Coconino County,4,4,5,4005,Distribution of COVID-19 deaths (%),1551,247,0.109,,0.789,,,0.089,,Small metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AZ,Coconino County,4,4,5,4005,Distribution of population (%),1551,247,0.54,0.013,0.258,0.019,0.001,0.143,0.026,Small metro,
03/17/2021,01/01/2020,03/13/2021,AZ,Gila County,5,4,7,4007,Distribution of all-cause deaths (%),918,106,0.724,,0.159,,,0.097,0.011,Micropolitan,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AZ,Gila County,5,4,7,4007,Distribution of COVID-19 deaths (%),918,106,0.509,,0.396,,,,,Micropolitan,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AZ,Gila County,5,4,7,4007,Distribution of population (%),918,106,0.616,0.006,0.167,0.008,0.001,0.189,0.014,Micropolitan,
03/17/2021,01/01/2020,03/13/2021,AZ,Maricopa County,1,4,13,4013,Distribution of all-cause deaths (%),55783,9512,0.7,0.049,0.035,0.019,0.002,0.171,0.025,Large central metro,
03/17/2021,01/01/2020,03/13/2021,AZ,Maricopa County,1,4,13,4013,Distribution of COVID-19 deaths (%),55783,9512,0.521,0.04,0.094,0.027,0.003,0.293,0.022,Large central metro,
03/17/2021,01/01/2020,03/13/2021,AZ,Maricopa County,1,4,13,4013,Distribution of population (%),55783,9512,0.544,0.056,0.017,0.043,0.002,0.313,0.024,Large central metro,
03/17/2021,01/01/2020,03/13/2021,AZ,Mohave County,4,4,15,4015,Distribution of all-cause deaths (%),4601,568,0.873,0.009,0.013,0.007,,0.069,0.028,Small metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AZ,Mohave County,4,4,15,4015,Distribution of COVID-19 deaths (%),4601,568,0.789,,0.033,,,0.125,0.026,Small metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AZ,Mohave County,4,4,15,4015,Distribution of population (%),4601,568,0.766,0.011,0.021,0.011,0.002,0.169,0.02,Small metro,
03/17/2021,01/01/2020,03/13/2021,AZ,Navajo County,5,4,17,4017,Distribution of all-cause deaths (%),1389,173,0.555,0.007,0.343,,,0.067,0.025,Micropolitan,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AZ,Navajo County,5,4,17,4017,Distribution of COVID-19 deaths (%),1389,173,0.341,,0.543,,,0.087,,Micropolitan,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AZ,Navajo County,5,4,17,4017,Distribution of population (%),1389,173,0.416,0.008,0.436,0.006,0.001,0.115,0.018,Micropolitan,
03/17/2021,01/01/2020,03/13/2021,AZ,Pima County,3,4,19,4019,Distribution of all-cause deaths (%),16437,2550,0.679,0.028,0.027,0.012,0.001,0.237,0.016,Medium metro,
03/17/2021,01/01/2020,03/13/2021,AZ,Pima County,3,4,19,4019,Distribution of COVID-19 deaths (%),16437,2550,0.495,0.024,0.048,0.014,,0.404,0.013,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AZ,Pima County,3,4,19,4019,Distribution of population (%),16437,2550,0.511,0.034,0.024,0.03,0.002,0.377,0.021,Medium metro,
03/17/2021,01/01/2020,03/13/2021,AZ,Pinal County,2,4,21,4021,Distribution of all-cause deaths (%),3485,332,0.72,0.038,0.045,0.006,,0.171,0.019,Large fringe metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AZ,Pinal County,2,4,21,4021,Distribution of COVID-19 deaths (%),3485,332,0.551,,0.078,,,0.316,,Large fringe metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AZ,Pinal County,2,4,21,4021,Distribution of population (%),3485,332,0.559,0.047,0.044,0.016,0.004,0.306,0.024,Large fringe metro,
03/17/2021,01/01/2020,03/13/2021,AZ,Yavapai County,4,4,25,4025,Distribution of all-cause deaths (%),4196,397,0.899,0.003,0.017,0.005,,0.057,0.017,Small metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AZ,Yavapai County,4,4,25,4025,Distribution of COVID-19 deaths (%),4196,397,0.811,,0.068,,,0.083,,Small metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AZ,Yavapai County,4,4,25,4025,Distribution of population (%),4196,397,0.801,0.007,0.014,0.011,0.001,0.147,0.019,Small metro,
03/17/2021,01/01/2020,03/13/2021,AZ,Yuma County,4,4,27,4027,Distribution of all-cause deaths (%),2866,692,0.529,0.013,0.022,,,0.415,0.018,Small metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AZ,Yuma County,4,4,27,4027,Distribution of COVID-19 deaths (%),2866,692,0.277,,0.027,,,0.676,,Small metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,AZ,Yuma County,4,4,27,4027,Distribution of population (%),2866,692,0.301,0.019,0.009,0.012,0.001,0.645,0.013,Small metro,
